date,amount,category,description
2024-01-05,-45.32,dining,Restaurant
2024-01-08,-120.50,groceries,Whole Foods
2024-01-12,-89.99,shopping,Amazon
2024-01-15,-32.00,dining,Coffee Shop
2024-01-20,-156.78,groceries,Trader Joes
2024-01-25,-250.00,shopping,Electronics Store
2024-02-03,-52.40,dining,Sushi Restaurant
2024-02-07,-98.23,groceries,Safeway
2024-02-10,-175.99,shopping,Clothing Store
2024-02-14,-67.50,dining,Valentine Dinner
2024-02-18,-134.56,groceries,Costco
2024-02-22,-45.00,entertainment,Movie Theater
2024-03-01,-38.90,dining,Lunch
2024-03-05,-112.34,groceries,Whole Foods
2024-03-10,-299.99,shopping,Furniture
2024-03-15,-55.20,dining,Brunch
2024-03-20,-145.67,groceries,Farmers Market
2024-03-25,-89.00,entertainment,Concert Tickets
